accession_id,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0000072,8.9848,9.373273,12.276878,5.5733,6.678577000000001,19.590131,4.36409,3.230386,1.230827,27.983462,10.595319,6.42928,8.346198000000001,6.738476,16.287034,35.702003,5.649044,11.232995,0.0,12.301829,7.373247,10.145328000000001,1.651712,4.427389,1.431589,2.799652,42.85262,2.2932,7.85151,19.202849999999998,8.680308,11.95756,2.637759,8.876412,66.396181,2.1424969999999997,4.694532,13.43008,7.404334,9.841134,46.296679999999995,10.414835,4.3149,18.314605,5.228025000000001,2.869624,6.962202,7.594139,24.021501,9.824389,5.8095870000000005,21.737791,37.093749,4.2362850000000005,8.107515,9.904221
MIMAT0000073,28.451867,16.559451,10.23073,46.815722,37.566994,37.591874000000004,30.548628,9.691158999999999,14.769922000000001,105.997958,46.120804,12.215632,48.793155,30.804463000000002,58.633322,34.244778000000004,17.816212,36.251939,13.388314,17.954021,24.130628,21.484225000000002,14.865406,7.378984,9.734799,13.298347,69.088918,17.581201,9.107754,73.73894899999999,24.80088,30.558206,36.049375,54.526526,78.46821399999999,41.931748,49.762035000000004,35.455411,15.919317,38.380425,118.956754,25.118132,6.903836999999999,25.973438,35.102447,34.435492,4.973001,43.666298999999995,86.299469,48.303246,18.485049,12.076550999999998,62.55640699999999,12.708854,9.72902,17.827598
MIMAT0000074,103.3252,77.485737,36.830627,112.58066600000001,126.475548,150.896963,162.094761,59.762146,60.310514000000005,496.070443,127.76709,200.593551,184.90038099999998,84.71227400000001,136.268183,116.577967,87.342887,166.96315099999998,38.755648,78.13323600000001,96.522507,75.19479,49.551355,46.487602,32.640208,38.495215,271.10841300000004,68.41380600000001,58.101189000000005,150.166295,116.564136,110.27526399999999,127.491693,140.75451900000002,419.228774,91.515276,143.65266400000002,346.496062,57.013367,131.871201,258.489814,110.887361,49.189837,109.55463,124.725717,103.306475,43.099346000000004,127.201825,243.77376,203.037373,72.883909,96.209856,220.362017,43.239321000000004,42.879753,80.224191
MIMAT0000075,160.22893200000001,136.224924,32.056289,104.778045,178.651928,148.249647,216.334164,27.458283,104.62027800000001,559.66922,164.539083,68.150373,246.212833,88.562832,184.586384,235.341778,95.59917899999999,247.12588599999998,35.937055,126.343104,99.20368700000002,113.38896899999999,85.063158,53.866587,57.26351999999999,55.99303999999999,299.093799,71.471405,85.73851,155.543093,120.90429,140.83346999999998,207.50372000000002,144.558697,605.796552,87.53635200000001,93.89062899999999,300.833792,146.23558,172.219854,563.276312,216.26098900000002,62.134529,136.527045,113.522809,130.08963500000002,59.012950999999994,205.041749,580.964474,504.318637,101.403701,237.10294900000002,339.816462,391.345066,81.255331,84.68109
MIMAT0000076,516325.00716700003,298460.68957,307089.69144799997,430080.99677100003,338150.535116,385185.41265199997,174099.12718,155754.69092599998,265746.582614,273488.299523,227894.734868,172660.899173,324405.469845,178232.218487,301035.421039,161631.712702,167500.624654,379651.736319,347108.26495599997,231218.516045,308562.350854,371218.477867,119531.07902500001,399753.54191,311406.177309,318330.23155,150767.761535,263281.164302,269286.140501,204746.176711,367513.699387,295170.34207,325563.66715,225870.42722000004,219949.692552,270412.039121,331289.334302,244031.000917,350439.68782,409740.558165,185951.91445500002,428612.125192,154088.451952,51624.871634,341398.929604,204491.344732,560074.024777,295419.595158,193049.24497099998,392743.869987,254620.99838300003,376260.2384,350338.511897,312526.504172,288695.689771,212270.73584600003
MIMAT0000077,67415.200334,70603.567028,57887.517897000005,62175.18109,47031.372615,60840.596682,83524.937654,52716.674119999996,130230.09076100001,63178.174935999996,84395.462212,77317.884202,66399.138933,75912.78679,73119.010442,43782.313956000005,87594.48566600001,96233.066263,33469.377398,79965.541585,66648.792126,75132.724771,61502.314462,104907.762691,96391.10983900001,82729.01678399999,34837.431151,85772.183559,82857.636379,40795.689345,72234.42287800001,101443.941638,111550.835335,67525.39604600001,43103.741564,82363.444817,91341.49994000001,73356.171631,84813.67550999999,80568.384565,24452.36489,67632.10146399999,94355.595908,13525.168260999999,55872.639362999995,53900.15429,51720.874037999994,105464.236038,53640.013772000006,45594.17086300001,108819.903859,62707.490238,60531.968369,144419.038099,86160.919787,87155.661178
MIMAT0000078,1111.868996,1975.573865,4325.552748,4434.675063,4616.983620999999,3061.884697,4193.26683,1922.0798519999998,3176.763962,4161.055842,4890.051742,7976.808298,1709.044488,4328.989743,4297.605373,3611.002626,3721.415301,3112.5607339999997,1398.02191,2584.3814,2411.722119,2026.08185,3278.64791,3493.949229,5689.416988,4039.8978389999997,2356.019571,3244.8782309999997,4259.602396,4555.684425,3462.20284,4585.059431,3222.4624519999998,4232.780076,4109.429684,9176.319636,5700.100179999999,5006.196639,4488.136593,3005.4824949999997,1885.303823,2763.6071330000004,5844.960547,974.669905,2516.1732660000002,2749.100132,2787.201613,4391.310786,3043.61326,1933.767243,4419.51134,12341.429858,2053.044692,6431.994994,3122.835178,3122.8009509999997
MIMAT0000079,8.236066000000001,3.749308,13.640972999999999,13.933250000000001,6.678576,20.119594,4.9875300000000005,19.382317,6.154134999999999,8.479835999999999,12.465081999999999,32.789329,12.198288,14.920911,8.143517,13.843634,15.208960999999999,14.807129,1.409296,6.317156,16.087083999999997,8.354976,6.606848,13.282171,1.4315890000000002,11.898521,23.612668,12.2304,8.479631,6.528969,8.060286,7.307397,9.671783,11.412528,14.266949,8.876063,36.617345,13.430079000000001,10.736283,20.666382,14.789216999999999,7.351648,16.396612,5.993871,16.430934,11.478496,4.973,7.594139,4.4484259999999995,3.274796,11.091031000000001,4.830621,13.202860999999999,1.606868,20.358874,15.351542
MIMAT0000080,381.854,1299.448308,2979.8707,1888.791476,1661.295977,1459.729569,867.2069769999999,1739.5630239999998,621.567537,858.159467,2063.594356,3963.651417,951.1455329999999,1538.779208,1990.275553,1965.067411,1705.576258,1824.851064,353.733363,959.210134,2178.459391,1156.2690949999999,812.642206,1046.340019,857.521206,1008.574633,1223.486034,1811.628129,1408.875338,1511.264387,1648.638496,1777.026074,994.4352060000001,1046.1484619999999,1934.268883,1867.952324,1807.394638,2358.859256,1054.006841,730.2121800000001,1337.459735,841.1510949999999,2432.739381,551.103075,1195.72378,748.971952,1161.693164,1459.9731969999998,1074.739791,907.937288,1624.571807,5624.854824,1199.888469,1315.73162,1114.513259,1533.1734430000001
MIMAT0000081,3316.888653,8344.401606000001,7307.469592,10698.507302,6368.440383,18720.753785,15053.615957,21827.720266,10783.273557,20631.442554999998,5275.846034,4040.802784,11253.884596000002,13156.875100000001,14627.928134999998,13072.033528000002,7852.603448,11748.691355,9812.93001,11840.011068,14651.982731999999,10090.723109999999,13336.746873,10371.900823,9270.391184,4108.489315,9381.225655999999,7010.695102000001,7925.316412,10029.6492,9386.513034,12429.217894,8191.121477,18798.970844,6721.378584,9109.290053,10610.580159,14909.537665999998,7683.476601,5695.064572,28976.579662999997,6098.19229,13767.112888,9392.727705,10039.299805,25598.005802000003,7514.868445,5696.869823,18646.023598,9763.805312999999,6796.160602000001,5653.436002,13460.001151999999,10342.08584,6733.5626839999995,5612.722168
MIMAT0000082,689.583399,2967.578774,2732.969074,1202.718208,1139.114754,2873.925322,1115.960097,1284.078556,797.5757649999999,1255.86381,2277.370513,2630.218644,1818.50808,5346.499673,1748.68455,2298.77185,2050.167841,1066.623914,923.089063,1372.485069,1358.6883619999999,990.661522,1515.445572,845.631636,918.793173,1233.2467060000001,766.974448,1445.0983019999999,1148.205138,1337.28656,1994.61077,2360.289218,689.334395,1949.006286,1806.963809,1707.571032,1244.989761,2316.957407,793.374309,1406.298124,1457.702508,1023.717027,2109.985022,369.622002,1309.993444,1949.4314789999999,1341.384288,1114.439878,1097.8716029999998,1338.573005,1217.900711,1449.1861,1373.726122,1144.235129,1744.197042,1930.3327160000001
MIMAT0000083,716.537796,646.755954,752.981749,566.247313,547.2258860000001,1465.5536630000001,584.7880289999999,936.812029,337.24654200000003,1149.865849,1253.987268,2446.984151,1086.93175,1069.973784,782.320532,604.748221,1354.466545,560.117968,343.868292,470.79429700000003,650.186341,321.36821000000003,294.830556,230.962218,288.035505,329.659023,923.517692,986.45827,396.972455,503.882816,906.472162,928.703722,442.264287,630.225195,1284.5740280000002,353.206124,725.774574,1242.013803,270.998598,705.609348,1174.778337,422.107141,736.984544,1111.8629349999999,687.111726,673.405181,547.361708,780.2977659999999,748.225302,689.34463,350.687801,346.99956,781.483553,286.898734,216.380606,989.431699
MIMAT0000084,134.02326599999998,707.369796,2137.540575,1203.832869,1289.382732,1894.418718,724.438903,907.738552,552.641232,464.695048,1635.418783,2835.312693,549.244012,1112.8112370000001,1168.323237,1409.864828,1140.6720189999999,1125.3418390000002,324.138143,749.414085,945.786524,819.9812840000001,502.946243,929.0141659999999,959.1639540000001,871.391686,321.831923,964.6728690000001,1220.753114,1362.250266,1209.042896,1878.001017,757.0368819999999,1175.490453,1058.497778,1396.9088009999998,1673.131036,2148.275605,1026.2405899999999,536.341833,576.136503,613.862635,975.166902,221.440208,765.532087,560.5332900000001,1398.739575,625.250765,946.6251120000001,511.68692999999996,1222.654009,3439.40168,728.986471,1478.901623,1075.777353,1160.279515
MIMAT0000085,38.1854,113.72906400000001,75.025355,81.370184,32.558061,135.542533,86.658353,75.914078,84.92705000000001,69.534662,75.413745,167.161292,81.856942,113.591456,187.84379099999998,133.336052,112.980848,99.56518200000001,43.688182999999995,97.417181,76.413652,122.937513,75.152887,62.721366,68.429905,67.191648,80.457982,121.539608,67.20894,62.985351,120.90429,110.939574,70.340245,54.526526999999994,74.627113,72.844935,98.58516,162.235364,61.826183,56.094467,100.95248900000001,49.623626,143.254607,60.271697,40.330472,71.740604,88.85096,69.61294000000001,149.467124,50.759342000000004,73.412054,63.603168,105.622878,52.296207,132.2426,73.78644800000001
MIMAT0000086,2077.734992,6425.692268,3577.3453449999997,1748.9016399999998,1787.771524,4907.592814,1817.955113,3999.218245,1261.597468,6935.658392,2774.104039,4613.008748,8906.998002,4908.980028999999,3816.5949680000003,3752.353419,6317.367547,3307.09578,1453.689114,2941.799386,3171.166582,2716.262602,2247.979751,3327.184177,3450.986008,2332.81003,5283.990433999999,3656.125462,2833.139659,2681.4861459999997,4283.1119659999995,6156.1497739999995,3180.258307,3852.362458,4806.863938,4105.638621,2248.6805999999997,3372.024499,1498.637047,4726.696932,1845.437237,2393.574168,2441.36917,714.935526,1481.024514,3674.075717,3135.311724,3093.34589,1589.867552,2724.630561,3415.509063,3106.893981,3184.089676,2043.788286,3167.156269,3944.8513129999997
MIMAT0000087,72865.978978,8128.503844,5541.645552,8142.034444000001,54318.117304,6508.159553999999,43099.127182,33791.455948,27468.361598,17583.789266,16021.370135000001,16432.597994,48342.782194,32347.09314,8673.388504999999,9057.379674,22028.223487,6441.101325999999,29063.212573,10012.690833999999,20713.462206,21062.597870999998,18329.871624,3068.181816,20986.793601,30367.125366,8571.398588,39311.566021,4314.24892,98925.7925,87147.191982,19550.608378,7592.350147,29265.527695,3740.1352300000003,6647.865733,22039.886616,10059.129955,4684.721642,11998.31126,6049.433282999999,12680.980732,8294.096532,1829.1294110000001,15604.157926,55820.889526000006,27444.006484999998,27261.692759,8512.508528,18044.946578,5633.715039,20049.892257000003,7308.411576,7666.214653999999,20934.508382000004,8065.502557000001
MIMAT0000088,4048.4011159999995,2797.297619,2829.819986,1339.821398,6725.326831,1843.590268,15032.418951,78629.217876,14236.973544999999,2445.584889,3667.8504319999997,7576.264125,13490.344574,11291.279784,2106.9992979999997,4825.599358,11839.523745999999,2629.54196,4277.214215,5417.791705,18274.92828,10795.226682,4387.772379,1258.854778,10805.912457,8146.987328,1008.348391,10612.548162,1812.443076,22612.893559,21579.865654,6538.791648,2578.849217,3179.0232650000003,523.4872369999999,1707.571036,2805.4520399999997,7098.603109,1904.764728,1148.460402,594.783776,4476.541196,2292.073706,257.736422,1734.957108,8247.3004,6520.26813,1952.3265279999998,1962.6456739999999,6158.254533,2071.9100129999997,8236.610222,1953.708888,2139.3238109999998,8161.026085,3140.628551
MIMAT0000089,2.2462,4.999079,6.138439,33.997132,1.669644,63.535562999999996,0.623441,8.075965,4.923308,6.78387,0.0,7.072208000000001,0.642016,0.96264,1.085802,2.9144490000000003,6.083584,2.5529539999999997,0.0,19.283948000000002,10.054426,0.298392,2.477568,0.737898,2.004223,2.099739,124.185143,16.816800999999998,33.29041,3.072456,1.8600659999999998,9.300324,0.879253,1.268059,1.097458,0.918213,3.755625,1.611609,2.2213,2.9523390000000003,0.643009,2.45055,11.218736,0.0,0.0,0.956541,3.9784,15.821122,7.117482,1.637398,4.225154,0.805104,1.571769,2.629418,1.80167,6.9329540000000005
MIMAT0000090,7.487333,41.554848,40.92292,22.850530999999997,13.774564999999999,110.65777200000001,16.832917,16.151930999999998,14.769922000000001,47.487086,33.655721,52.7201,43.015021000000004,66.42212500000001,34.745672,94.719601,34.763338000000005,17.870674,23.958036,29.590885999999998,35.525645,17.008345000000002,9.084415,8.116881,19.469599,39.895041,32.358101,19.492202000000002,22.612354,52.999869,38.441364,23.915118,18.464314,36.773704,20.851694000000002,26.016047,17.83922,76.820058,19.621482999999998,4.920567,32.793482,15.92857,12.081714,8.990805,19.418375,40.17474,19.560471999999997,15.188278,60.498597000000004,7.368291,36.441955,20.127585,28.291842,10.371595,39.096245,31.693508
MIMAT0000091,5.989867,24.682954,92.076572,30.653151,6.678576,71.477508,3.740649,56.531760000000006,19.69323,33.071363999999996,31.78596,27.002978,7.062168,74.12324100000001,35.831474,78.690129,12.167169,21.444809000000003,16.206907,29.590886,60.326567,8.951761,6.606847,7.378984,16.606422000000002,31.496085,11.369062,10.7016,41.770042,47.239014,48.981738,27.90097,12.309543000000001,26.629234,12.072033000000001,23.567479,135.20250800000002,37.067021000000004,15.178883,5.904681,84.877252,15.315933000000001,6.040857,9.656791,28.380702,11.478498,26.854208,15.188278,47.153318,13.917884999999998,40.138966,64.00572,35.836335,2.483339,16.034865,20.303654
MIMAT0000092,3151.4185869999997,5296.525103,6334.186124,14012.391674,15134.072425999999,5397.346117,8223.192016,5932.604449,5809.502477,10062.174165,6134.690198,4133.384424,9774.360547,3381.271175,5646.714685,9797.649786,4441.885477,8213.87214,5352.507278,6307.845608,17040.244523,5875.637362,9299.963251000001,3473.288072,4583.658426,3086.6163340000003,7486.0903880000005,2648.64619,7061.0219480000005,7595.111718,3363.619342,4436.918567,11250.922116,9827.455246,15859.907352,3244.966503,10689.448291,12594.191864999999,8833.369555,2340.221796,12541.900102,6172.32141,5403.977994,3146.115908,8440.271324000001,15548.581299999998,3124.039583,2999.051999,16349.745949,13238.364239,7244.555098,14050.261801999999,10071.267152,10963.212836,5413.478832,5640.949199000001
